Date,Emerging Markets Equal Weighted Currency Index,Emerging Markets Equal Weighted Index Equity Index (Local Currency),MSCI Emerging Markets Equity Index (USD),S&P 500,Dax,MSCI Europe Financials Index,J.P. Morgan Emerging Markets Bond Index , IBoxx US Investment Grade Corporate Bond Index , IBoxx US High Yield Corporate Bond Index,Emerging Markets -US 10 Year Bond  Average Spread,US 10 Year Treasury Yield,Crude Oil WTI,Gold ,London Metal Exchange Index,US Dollar Index
4/8/2013,0.006710547,-0.017986141,-0.021051159,-0.004581997,-0.035430936,-0.027491822,0.022988365,0.014462301,0.00019883,-0.007189004,-0.062743289,-0.039430046,-0.002016715,-0.001112599,-0.0021077
4/12/2013,0.004902885,0.006286527,0.013057036,0.016545055,0.010736685,0.041259404,0.004103208,0.002891702,0.006414463,-0.000992372,-0.013777677,-0.02206102,-0.045194409,-0.009620877,-0.007496413
4/18/2013,-0.004832207,-0.012895047,-0.021149792,-0.029744348,-0.034975515,-0.038787682,-0.005292833,0.001498297,-0.00139941,-0.013861425,-0.020397975,-0.03906587,-0.072515017,-0.022989864,0.005208808
4/24/2013,-0.000803368,0.013345526,0.020782954,0.02408219,0.038236208,0.055301936,0.00320247,0.001800239,0.004808065,-0.024923902,0.010046634,0.042097672,0.022588425,-0.003962234,0.005905577
4/30/2013,0.007617793,0.006293326,0.022301391,0.01193211,0.019907119,0.032545407,0.00470566,0.001090364,0.007721736,-0.002099862,-0.017610684,0.022243188,0.034352801,-0.007473144,-0.015707321
5/6/2013,0.000297522,0.008521412,0.006904525,0.012432686,0.02508887,0.011133203,0.004094452,-0.005019907,0.006917399,-0.039926252,0.054381868,0.028885389,-0.00276736,0.019030431,0.006872394
5/10/2013,-0.005114387,0.004495779,0.00491555,0.009910854,0.020533871,0.013348668,-0.004609727,-0.005414539,0.000797438,-0.064720036,0.077112018,-0.001179165,-0.0213476,0.009138166,0.010073107
5/16/2013,-0.008673074,0.008015498,-0.003141702,0.010175252,0.011030271,0.007351111,-0.006491368,0.002184067,-0.004692844,0.01334721,-0.011071068,-0.009192156,-0.034535261,-0.013037042,0.005397835
5/22/2013,-0.007089354,0.00882473,0.00209895,0.002915232,0.019227552,0.008581071,-0.003199226,-0.008189258,0.0015008,-0.017686465,0.084011433,-0.009333162,-0.014067961,0.024333673,0.008972557
5/29/2013,-0.008282379,-0.009461051,-0.025843429,-0.004239757,-0.022840179,-0.022151759,-0.02762651,-0.009890629,-0.011858069,0.061014451,0.040217343,-0.012264621,0.017229078,-0.021442547,-0.008113891
